Title,Original title,ID,Language,Details,Genre IDs,Popularity,Release date,Review score,Number of reviews
The Equalizer 3,The Equalizer 3,926393,en,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.","[28, 53, 80]",456.098,2023-08-30,7.4,2036
Saltburn,Saltburn,930564,en,"Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten.","[18, 35, 53]",446.64,2023-11-16,7.2,767
Transformers: Rise of the Beasts,Transformers: Rise of the Beasts,667538,en,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.","[28, 12, 878]",472.405,2023-06-06,7.4,3821
Fast Charlie,Fast Charlie,945937,en,"When his aging mob boss is whacked, Charlie Swift, a loyal friend and hired gun, will stop at nothing to destroy the upcoming crew that took him out.","[28, 80, 18]",465.993,2023-12-08,6.3,52
Fast X,Fast X,385687,en,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","[28, 80, 53]",473.253,2023-05-17,7.2,4629
Migration,Migration,940551,en,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.","[16, 28, 12, 35, 10751]",425.238,2023-12-06,7.2,80
Godzilla Minus One,ゴジラ-1.0,940721,ja,"In postwar Japan, a new terror rises. Will the devastated people be able to survive... let alone fight back?","[878, 27, 28]",499.386,2023-11-03,8.0,234
Lord of Misrule,Lord of Misrule,853387,en,"When the daughter of the town's new priest goes missing during the harvest festival, a desperate search begins, uncovering the town's dark history and resurfacing tales of a mysterious, malevolent spirit that demands sacrifice.",[27],422.081,2023-10-26,5.8,13
Hell House LLC Origins: The Carmichael Manor,Hell House LLC Origins: The Carmichael Manor,1035982,en,"A group of cold case investigators stay at the Carmichael Manor, site of the grisly and unsolved murders of the Carmichael family back in the eighties. After four nights, the group was never heard from again. What is discovered on their footage is even more disturbing than anything found on the Hell House tapes.","[27, 9648]",643.556,2023-10-24,6.4,49
Retribution,Retribution,762430,en,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.","[28, 53, 80]",383.689,2023-08-23,6.9,796
Meg 2: The Trench,Meg 2: The Trench,615656,en,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,"[28, 878, 27]",405.209,2023-08-02,6.7,2773
57 Seconds,57 Seconds,937249,en,"When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past.","[53, 878, 28]",464.251,2023-09-29,5.9,248
Barbie,Barbie,346698,en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","[35, 12, 14]",394.52,2023-07-19,7.2,6712
All the Names of God,Todos los nombres de Dios,1053592,es,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators.","[18, 28, 53]",430.921,2023-09-15,6.9,28
John Wick: Chapter 4,John Wick: Chapter 4,603692,en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","[28, 53, 80]",364.655,2023-03-22,7.8,5307
Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,569094,en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","[16, 28, 12, 878]",384.574,2023-05-31,8.4,5411
Elemental,Elemental,976573,en,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.","[16, 35, 10751, 14, 10749]",397.44,2023-06-14,7.7,3390
Merry Little Batman,Merry Little Batman,870358,en,"This Christmas, Damian Wayne wants to be a superhero like his dad – the one and only Batman. When Damian is left home alone while Batman takes on Gotham’s worst supervillains on Christmas Eve, he stumbles upon a villainous plot to steal Christmas and leaps at the chance to save the day.","[16, 28, 10751, 35]",330.835,2023-12-08,6.6,91
The Flash,The Flash,298618,en,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?","[28, 12, 878]",339.608,2023-06-13,6.8,3430
Mortal Kombat Legends: Cage Match,Mortal Kombat Legends: Cage Match,1034062,en,"In 1980s Hollywood, action star Johnny Cage is looking to become an A-list actor. But when his costar, Jennifer, goes missing from set, Johnny finds himself thrust into a world filled with shadows, danger, and deceit. As he embarks on a bloody journey, Johnny quickly discovers the City of Angels has more than a few devils in its midst.","[16, 28, 14]",504.382,2023-10-17,7.0,67
My Fault,Culpa mía,1010581,es,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","[18, 10749]",345.58,2023-06-08,8.1,2085
Blue Beetle,Blue Beetle,565770,en,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.","[28, 878, 12]",328.416,2023-08-16,6.9,1988
Wish,Wish,1022796,en,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.","[16, 10751, 14, 12]",328.139,2023-11-13,6.4,240
Leave the World Behind,Leave the World Behind,726209,en,A family's getaway to a luxurious rental home takes an ominous turn when a cyberattack knocks out their devices—and two strangers appear at their door.,"[18, 9648, 53, 878]",316.502,2023-11-22,6.5,1433
PAW Patrol: The Mighty Movie,PAW Patrol: The Mighty Movie,893723,en,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups.","[16, 10751, 28, 878, 35, 18, 12]",304.427,2023-09-21,7.0,210
Boudica,Boudica,975902,en,"Inspired by events in A.D. 60, Boudica follows the eponymous Celtic warrior who rules the Iceni people alongside her husband Prasutagus. When he dies at the hands of Roman soldiers, Boudica’s kingdom is left without a male heir and the Romans seize her land and property.  Driven to the edge of madness and determined to avenge her husband’s death, Boudica rallies the various tribes from the region and wages an epic war against the mighty Roman empire.","[28, 10752]",474.485,2023-10-26,6.0,95
Saw X,Saw X,951491,en,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.","[27, 53, 9648]",336.394,2023-09-26,7.4,1365
Gran Turismo,Gran Turismo,980489,en,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,"[12, 28, 18]",295.766,2023-08-09,8.0,1727
Killers of the Flower Moon,Killers of the Flower Moon,466420,en,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.","[80, 18, 36]",324.738,2023-10-18,7.5,1749
The Nun II,The Nun II,968051,en,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.","[27, 9648, 53]",303.354,2023-09-06,6.9,1597
Jawan,जवान,872906,hi,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.","[28, 12, 53]",267.988,2023-09-07,7.3,162
Heart of Stone,Heart of Stone,724209,en,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,"[53, 28]",235.412,2023-08-09,6.9,1400
The Bad Guys: A Very Bad Holiday,The Bad Guys: A Very Bad Holiday,1046032,en,"To keep their annual Holiday Heist-tacular afloat, Mr. Wolf and his crew of animal outlaws will have to restore the whole city's Christmas spirit — fast!","[16, 35, 10751, 28]",245.245,2023-11-30,6.7,75
Ballerina,발레리나,961268,ko,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.","[28, 53]",404.062,2023-10-05,7.0,355
Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,575264,en,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.","[28, 53]",280.113,2023-07-08,7.6,2827
The Velveteen Rabbit,The Velveteen Rabbit,1186957,en,"When seven-year-old William receives a new favorite toy for Christmas, he discovers a lifelong friend and unlocks a world of magic.","[16, 10751, 14]",254.88,2023-11-21,7.3,40
Sound of Freedom,Sound of Freedom,678512,en,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.","[28, 18]",308.279,2023-07-03,8.1,1721
The Marvels,The Marvels,609681,en,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.","[878, 12, 28]",280.429,2023-11-08,6.4,773
Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,447365,en,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.","[878, 12, 28]",248.943,2023-05-03,8.0,5632
Believer 2,독전 2,958263,ko,A determined detective continues his search for the truth behind Asia's largest drug organization and its elusive boss he has unfinished business with.,"[80, 28, 53]",260.871,2023-10-05,7.1,49
Indiana Jones and the Dial of Destiny,Indiana Jones and the Dial of Destiny,335977,en,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.","[12, 28]",252.369,2023-06-28,6.6,2531
Diary of a Wimpy Kid Christmas: Cabin Fever,Diary of a Wimpy Kid Christmas: Cabin Fever,1123093,en,"The winter holidays are turning out to be especially stressful for Greg Heffley this year. After accidentally damaging a snowplow while making a snowman with best friend Rowley Jefferson, Greg worries he won’t get the new video game console he so desperately wants for Christmas. To make matters worse, he gets snowed in with his family, including his grumpy older brother Rodrick and annoying younger brother Manny.","[16, 35, 10751]",223.199,2023-12-08,7.1,35
The Last Voyage of the Demeter,The Last Voyage of the Demeter,635910,en,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,"[53, 27]",256.087,2023-08-09,7.1,1065
The Engineer,The Engineer,1156255,en,"As Israel is rocked by a series of terrorist bombings, a US senator's daughter is killed in one bloody explosion. Now, ex-Mossad agent Etan must lead an elite, covert team of agents and mercenaries to find the man responsible—the elusive “Engineer.” Can they find and destroy the madman before more innocent lives are lost?","[28, 53]",204.923,2023-08-18,6.5,50
Adipurush,आदिपुरुष,734253,hi,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.","[28, 12, 18, 14]",210.545,2023-06-16,5.2,68
Napoleon,Napoleon,753342,en,"An epic that details the checkered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.","[18, 36, 10752]",243.44,2023-11-22,6.4,870
Warhorse One,Warhorse One,1076487,en,A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,"[28, 18, 10752]",217.006,2023-06-30,7.2,190
Justice League: Warworld,Justice League: Warworld,1003581,en,"Until now, the Justice League has been a loose association of superpowered individuals. But when they are swept away to Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and the others must somehow unite to form an unbeatable resistance able to lead an entire planet to freedom.","[16, 28, 878, 12]",215.339,2023-07-25,7.2,193
Society of the Snow,La sociedad de la nieve,906126,es,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.","[18, 36]",334.459,2023-12-14,8.0,115
Carl's Date,Carl's Date,1076364,en,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.","[16, 12, 10751]",205.967,2023-06-15,7.5,340
The Conference,Konferensen,1161048,sv,"A team-building conference for municipal employees turns into a nightmare when accusations of corruption begin to circulate and plague the work environment. At the same time, a mysterious figure begins murdering the participants.","[27, 35, 53]",291.546,2023-10-13,5.4,229
Sniper: G.R.I.T. - Global Response & Intelligence Team,Sniper: G.R.I.T. - Global Response & Intelligence Team,1171541,en,"When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.","[28, 53]",200.359,2023-09-26,6.9,95
Overhaul,Carga Máxima,818511,pt,"When truck racer Roger loses everything, he receives a tempting but dangerous offer: to work as the getaway driver for a gang of thieves.","[28, 53, 18]",298.691,2023-09-27,6.7,108
The Little Mermaid,The Little Mermaid,447277,en,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.","[12, 10751, 14, 10749]",226.502,2023-05-18,6.4,2504
The Collective,The Collective,1060090,en,"A group of righteous assassins called The Collective take aim at a highly sophisticated human trafficking ring backed by a network of untouchable billionaires. With their backs against the wall, The Collective has no choice but to put their most important mission in the hands of rookie assassin, Sam Alexander.","[28, 53]",224.605,2023-08-04,5.8,68
Extraction 2,Extraction 2,697843,en,"Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Vienna, in order to get revenge.","[28, 53]",192.425,2023-06-09,7.5,2032
The Kill Room,The Kill Room,958006,en,"A hitman, his boss, an art dealer and a money-laundering scheme that accidentally turns the assassin into an overnight avant-garde sensation, one that forces her to play the art world against the underworld.","[53, 35, 80]",199.87,2023-09-14,6.3,99
After Everything,After Everything,820525,en,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.","[10749, 18]",207.701,2023-09-13,7.0,621
Deep Fear,Deep Fear,899445,en,A solo trip aboard a yacht takes a terrifying turn when a woman encounters three drug traffickers clinging to the shattered remains of a boat. They soon force her to dive into shark-infested waters to retrieve kilos of cocaine from the sunken wreck.,"[28, 9648, 53, 27]",262.894,2023-10-18,5.0,32
"Miraculous: Ladybug & Cat Noir, The Movie",Miraculous - le film,496450,fr,"After a guardian of magical jewels turns an awkward girl and a popular boy into superheroes, they can never reveal their identities — even to each other.","[16, 14, 28, 10749, 10751]",198.655,2023-07-05,7.8,709
No One Will Save You,No One Will Save You,820609,en,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,"[27, 878, 53]",192.374,2023-09-22,6.8,828
How to Have Sex,How to Have Sex,1075175,en,"Three British teenage girls go on a rites-of-passage holiday—drinking, clubbing and hooking up, in what should be the best summer of their lives.",[18],288.063,2023-11-02,6.4,89
Anyone But You,Anyone But You,1072790,en,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","[35, 10749]",190.192,2023-12-21,7.4,36
The Flood,The Flood,1006462,en,A horde of giant hungry alligators is unleashed on a group of in-transit prisoners and their guards after a massive hurricane floods Louisiana.,"[28, 9648, 53, 27]",185.675,2023-07-14,6.7,223
Knuckle Girl,ナックルガール,1178734,ja,"Following the story of Ran, who confronts a mysterious organization by participating in a no-rules deathmatch after discovering her missing younger sister Yuzuki is involved in a crime. With danger at every corner, Ran must trade in her boxing gloves for brass knuckles. Will she save her sister?","[28, 18]",284.102,2023-10-25,6.7,19
Kingdom 3: The Flame of Fate,キングダム 運命の炎,1061181,ja,"It follows Li Xin and Wang Qi as they stand on the battlefield for the first time to fight off an invasion by Zhao, and it also follows Ying Zheng's unknown past.","[28, 12, 10752]",172.045,2023-07-28,7.5,78
Knights of the Zodiac,Knights of the Zodiac,455476,en,"When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?","[14, 28, 12]",171.414,2023-04-27,6.6,956
Resident Evil: Death Island,バイオハザード：デスアイランド,1083862,ja,"In San Francisco, Jill Valentine is dealing with a zombie outbreak and a new T-Virus, Leon Kennedy is on the trail of a kidnapped DARPA scientist, and Claire Redfield is investigating a monstrous fish that is killing whales in the bay. Joined by Chris Redfield and Rebecca Chambers, they discover the trail of clues from their separate cases all converge on the same location, Alcatraz Island, where a new evil has taken residence and awaits their arrival.","[16, 28, 27]",174.185,2023-06-22,7.5,777
Desperation Road,Desperation Road,1039690,en,"Ex-con Russell Gaines is attempting to rebuild his life with the help of his father, Mitchell. However, the arrival of Maben sends his new life into chaos, leading the pair to go on the run - as their violent pasts catch up to them, the pair must learn to trust each other if they hope to live out the rest of their days.","[53, 28, 80, 18]",249.542,2023-10-19,6.9,60
When Evil Lurks,Cuando acecha la maldad,744857,es,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.","[27, 53]",179.007,2023-10-05,7.3,346
Ghosted,Ghosted,868759,en,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","[28, 35, 10749]",177.617,2023-04-18,7.0,1480
Mavka: The Forest Song,Мавка: Лісова пісня,459003,uk,"Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.","[16, 12, 10751, 14]",177.759,2023-03-02,7.3,568
RDX: Robert Dony Xavier,ആര്‍ഡിഎക്സ്: റോബര്‍ട്ട് ഡോണി സേവ്യര്‍,997391,ml,"Once-menacing, anger fueled, trained martial arts fighters Robert, Dony and Xavier settle down to peaceful lives, after a significant event prompts them. Fate orchestrates their reunion and return from exile to their fighting ways, when their history linger ominously and one of them faces a violent attack.","[28, 18]",149.764,2023-08-25,7.0,28
The Wandering Earth II,流浪地球2,842675,zh,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.","[878, 28, 18]",172.079,2023-01-22,7.3,420
Shazam! Fury of the Gods,Shazam! Fury of the Gods,594767,en,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.","[35, 28, 14]",154.464,2023-03-15,6.6,2661
Creed III,Creed III,677179,en,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.","[18, 28]",158.384,2023-03-01,7.2,2179
Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,614930,en,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.","[16, 35, 28, 878]",160.586,2023-07-31,7.3,941
